"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2018"	"2018"	Suppressed	3848208	Suppressed
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2019"	"2019"	Suppressed	3783052	Suppressed
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2020"	"2020"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2021 (provisional)"	"2021"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2018"	"2018"	Suppressed	3848208	Suppressed
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2019"	"2019"	Suppressed	3783052	Suppressed
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2020"	"2020"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2021 (provisional)"	"2021"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	159	3848208	41.317932918
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2019"	"2019"	194	3783052	51.281346384
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2020"	"2020"	144	3735010	38.554113644
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2021 (provisional)"	"2021"	160	3735010	42.837904048
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2018"	"2018"	Suppressed	3848208	Suppressed
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2019"	"2019"	Suppressed	3783052	Suppressed
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2020"	"2020"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2021 (provisional)"	"2021"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2018"	"2018"	Suppressed	3848208	Suppressed
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2019"	"2019"	Suppressed	3783052	Suppressed
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2020"	"2020"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2021 (provisional)"	"2021"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2018"	"2018"	Suppressed	3848208	Suppressed
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2019"	"2019"	Suppressed	3783052	Suppressed
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2020"	"2020"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2021 (provisional)"	"2021"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2018"	"2018"	Suppressed	3848208	Suppressed
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2019"	"2019"	Suppressed	3783052	Suppressed
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2020"	"2020"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2021 (provisional)"	"2021"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2018"	"2018"	Suppressed	3848208	Suppressed
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2019"	"2019"	Suppressed	3783052	Suppressed
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2020"	"2020"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2021 (provisional)"	"2021"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2018"	"2018"	Suppressed	3848208	Suppressed
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2019"	"2019"	Suppressed	3783052	Suppressed
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2020"	"2020"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2021 (provisional)"	"2021"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	151	3848208	39.239043212
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	133	3783052	35.156799325
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2020"	"2020"	117	3735010	31.325217335
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2021 (provisional)"	"2021"	115	3735010	30.789743535
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2018"	"2018"	Suppressed	3848208	Suppressed
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2019"	"2019"	Suppressed	3783052	Suppressed
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2020"	"2020"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2021 (provisional)"	"2021"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2018"	"2018"	Suppressed	3848208	Suppressed
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2019"	"2019"	Suppressed	3783052	Suppressed
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2020"	"2020"	Suppressed	3735010	Suppressed
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2021 (provisional)"	"2021"	Suppressed	3735010	Suppressed
