"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	61	1901862	32.073830804
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2019"	"2019"	60	1881774	31.884806571
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2020"	"2020"	39	1806934	21.583522143
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2021 (provisional)"	"2021"	51	1806934	28.224605879
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2018"	"2018"	Suppressed	1901862	Suppressed
