"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	54352	4887871	1111.976973206
	"2018"	"2018"	"Alaska"	"02"	4453	737438	603.847374288
	"2018"	"2018"	"Arizona"	"04"	59282	7171646	826.616372308
	"2018"	"2018"	"Arkansas"	"05"	32336	3013825	1072.922283145
	"2018"	"2018"	"California"	"06"	268818	39557045	679.570478533
	"2018"	"2018"	"Colorado"	"08"	38526	5695564	676.421158642
	"2018"	"2018"	"Connecticut"	"09"	31230	3572665	874.137373641
	"2018"	"2018"	"Delaware"	"10"	9433	967171	975.318738879
	"2018"	"2018"	"District of Columbia"	"11"	5008	702455	712.928230278
	"2018"	"2018"	"Florida"	"12"	205426	21299325	964.471878804
	"2018"	"2018"	"Georgia"	"13"	85202	10519475	809.945363243
	"2018"	"2018"	"Hawaii"	"15"	11415	1420491	803.595376528
	"2018"	"2018"	"Idaho"	"16"	14261	1754208	812.959466608
	"2018"	"2018"	"Illinois"	"17"	110022	12741080	863.521773664
	"2018"	"2018"	"Indiana"	"18"	65693	6691878	981.682571021
	"2018"	"2018"	"Iowa"	"19"	30367	3156145	962.154780595
	"2018"	"2018"	"Kansas"	"20"	27537	2911505	945.799509188
	"2018"	"2018"	"Kentucky"	"21"	48707	4468402	1090.031738416
	"2018"	"2018"	"Louisiana"	"22"	46048	4659978	988.159171567
	"2018"	"2018"	"Maine"	"23"	14715	1338404	1099.443815171
	"2018"	"2018"	"Maryland"	"24"	50568	6042718	836.841964162
	"2018"	"2018"	"Massachusetts"	"25"	59152	6902149	857.008447659
	"2018"	"2018"	"Michigan"	"26"	98903	9995915	989.434183864
	"2018"	"2018"	"Minnesota"	"27"	44745	5611179	797.425995499
	"2018"	"2018"	"Mississippi"	"28"	32301	2986530	1081.556187281
	"2018"	"2018"	"Missouri"	"29"	63117	6126452	1030.237403313
	"2018"	"2018"	"Montana"	"30"	9992	1062305	940.596156471
	"2018"	"2018"	"Nebraska"	"31"	16904	1929268	876.187237854
	"2018"	"2018"	"Nevada"	"32"	24715	3034392	814.495951743
	"2018"	"2018"	"New Hampshire"	"33"	12774	1356458	941.717325564
	"2018"	"2018"	"New Jersey"	"34"	75765	8908520	850.477969405
	"2018"	"2018"	"New Mexico"	"35"	19007	2095428	907.070059195
	"2018"	"2018"	"New York"	"36"	157183	19542209	804.325652233
	"2018"	"2018"	"North Carolina"	"37"	93885	10383620	904.164443614
	"2018"	"2018"	"North Dakota"	"38"	6445	760077	847.940406038
	"2018"	"2018"	"Ohio"	"39"	124264	11689442	1063.044754403
	"2018"	"2018"	"Oklahoma"	"40"	40933	3943079	1038.097385317
	"2018"	"2018"	"Oregon"	"41"	36187	4190713	863.504611268
	"2018"	"2018"	"Pennsylvania"	"42"	134702	12807060	1051.779253006
	"2018"	"2018"	"Rhode Island"	"44"	10083	1057315	953.642008295
	"2018"	"2018"	"South Carolina"	"45"	50640	5084127	996.041208255
	"2018"	"2018"	"South Dakota"	"46"	7971	882235	903.500767936
	"2018"	"2018"	"Tennessee"	"47"	71078	6770010	1049.895051854
	"2018"	"2018"	"Texas"	"48"	202211	28701845	704.522653509
	"2018"	"2018"	"Utah"	"49"	18354	3161105	580.619751638
	"2018"	"2018"	"Vermont"	"50"	6027	626299	962.319914290
	"2018"	"2018"	"Virginia"	"51"	69359	8517685	814.294024726
	"2018"	"2018"	"Washington"	"53"	56877	7535591	754.778225092
	"2018"	"2018"	"West Virginia"	"54"	23478	1805832	1300.120941483
	"2018"	"2018"	"Wisconsin"	"55"	53684	5813568	923.426026839
	"2018"	"2018"	"Wyoming"	"56"	5070	577737	877.561935621
	"2019"	"2019"	"Alabama"	"01"	54108	4903185	1103.527605016
	"2019"	"2019"	"Alaska"	"02"	4613	731545	630.583217710
	"2019"	"2019"	"Arizona"	"04"	60236	7278717	827.563429104
	"2019"	"2019"	"Arkansas"	"05"	32888	3017804	1089.799072438
	"2019"	"2019"	"California"	"06"	269831	39512223	682.905135456
	"2019"	"2019"	"Colorado"	"08"	39390	5758736	684.004267603
	"2019"	"2019"	"Connecticut"	"09"	31745	3565287	890.391152241
